Key,Category,Original_ZH,Original_EN,Current_ZH,Current_EN
address.add_desc,address,填写后加入当前地址列表,Will be added to your address list immediately,填写后加入当前地址列表,Will be added to your address list immediately
address.add_new_btn,address,Add New Address,Add New Address,Add New Address,Add New Address
address.add_title,address,添加新地址,Add New Address,添加新地址,Add New Address
address.address_line_1,address,Address Line 1,Address Line 1,Address Line 1,Address Line 1
address.australia,address,Australia,Australia,Australia,Australia
address.canada,address,Canada,Canada,Canada,Canada
address.cancel,address,取消,Cancel,取消,Cancel
address.city,address,City,City,City,City
address.country_au,address,Australia,Australia,Australia,Australia
address.country_ca,address,Canada,Canada,Canada,Canada
address.country_eu,address,Europe,Europe,Europe,Europe
address.country_other,address,Other,Other,Other,Other
address.country_select,address,选择国家/地区,Select Country/Region,选择国家/地区,Select Country/Region
address.country_uk,address,United Kingdom,United Kingdom,United Kingdom,United Kingdom
address.country_us,address,United States,United States,United States,United States
address.default,address,Default,Default,Default,Default
address.default_badge,address,Default,Default,Default,Default
address.delete,address,Delete,Delete,Delete,Delete
address.edit,address,Edit,Edit,Edit,Edit
address.europe,address,Europe,Europe,Europe,Europe
address.full_name,address,Full Name,Full Name,Full Name,Full Name
address.other,address,Other,Other,Other,Other
address.phone_number,address,Phone Number,Phone Number,Phone Number,Phone Number
address.placeholder_address1,address,Address Line 1,Address Line 1,Address Line 1,Address Line 1
address.placeholder_address2,address,Address Line 2 (Optional),Address Line 2 (Optional),Address Line 2 (Optional),Address Line 2 (Optional)
address.placeholder_city,address,City,City,City,City
address.placeholder_name,address,Full Name,Full Name,Full Name,Full Name
address.placeholder_phone,address,Phone Number,Phone Number,Phone Number,Phone Number
address.placeholder_state,address,State / Province,State / Province,State / Province,State / Province
address.placeholder_zip,address,ZIP / Postal Code,ZIP / Postal Code,ZIP / Postal Code,ZIP / Postal Code
address.save,address,保存地址,Save Address,保存地址,Save Address
address.set_default,address,设为默认地址,Set as Default,设为默认地址,Set as Default
address.set_default_btn,address,Set Default,Set Default,Set Default,Set Default
address.state_province,address,State / Province,State / Province,State / Province,State / Province
address.united_kingdom,address,United Kingdom,United Kingdom,United Kingdom,United Kingdom
address.united_states,address,United States,United States,United States,United States
address.zip_postal_code,address,ZIP / Postal Code,ZIP / Postal Code,ZIP / Postal Code,ZIP / Postal Code
addressdrawer.set_default,addressdrawer,Set Default,Set Default,Set Default,Set Default
ai.action.start_rebate,ai,查看订单详情,View Order Details,查看订单详情,View Order Details
ai.input_placeholder,ai,输入您的需求...,Enter sourcing needs...,输入您的需求...,Enter sourcing needs...
ai.quick_reply.auto_currency,ai,本地货币,Auto Currency,本地货币,Auto Currency
ai.quick_reply.check_in,ai,去签到,Check-in,去签到,Check-in
ai.quick_reply.dark_mode,ai,暗黑模式,Dark Mode,暗黑模式,Dark Mode
ai.quick_reply.jpy,ai,展示日元,Show JPY,展示日元,Show JPY
ai.quick_reply.notify_off,ai,关闭通知,Silence,关闭通知,Silence
ai.resp.address,ai,好的，这是收货地址管理页面，请您在此添加或修改地址。📦,Sure， here is the address management page. 📦,好的，这是收货地址管理页面，请您在此添加或修改地址。📦,Sure， here is the address management page. 📦
ai.resp.check_in,ai,太棒了！您今天已签到。请继续保持哦！✨,Great! You'，,太棒了！您今天已签到。请继续保持哦！✨,Great! You'，
ai.resp.check_in_success,ai,太棒了！您今天的签到已完成。要继续保持哦！✨,Great! Your check-in for today is complete. Keep it up! ✨,太棒了！您今天的签到已完成。要继续保持哦！✨,Great! Your check-in for today is complete. Keep it up! ✨
ai.resp.clear_memory,ai,我已清空了当前偏好记忆。从现在起我们重新认识！🧠✨,"I have cleared my current memory of your preferences. From now on, we will get to know each other anew！🧠✨",我已清空了当前偏好记忆。从现在起我们重新认识！🧠✨,"I have cleared my current memory of your preferences. From now on, we will get to know each other anew！🧠✨"
ai.resp.coupons,ai,马上为您打开卡券中心。🎟️,Opening the Coupon Center. 🎟️,马上为您打开卡券中心。🎟️,Opening the Coupon Center. 🎟️
ai.resp.currency_auto,ai,已开启本地货币标价。我会根据您的地区自动以本地货币展示价格。🌍,Local currency pricing is now enabled. I will automatically display prices in your local currency based on your region. 🌍,已开启本地货币标价。我会根据您的地区自动以本地货币展示价格。🌍,Local currency pricing is now enabled. I will automatically display prices in your local currency based on your region. 🌍
ai.resp.currency_cny,ai,好的，已经为您切换到人民币 (CNY) 价格。💴,Switched price display to CNY! 💴,好的，已经为您切换到人民币 (CNY) 价格。💴,Switched price display to CNY! 💴
ai.resp.currency_eur,ai,没问题，已为您切换到欧元 (EUR) 价格。💶,Switched price display to EUR! 💶,没问题，已为您切换到欧元 (EUR) 价格。💶,Switched price display to EUR! 💶
ai.resp.currency_gbp,ai,好的，已为您切换到英镑 (GBP) 价格。💷,Switched price display to GBP! 💷,好的，已为您切换到英镑 (GBP) 价格。💷,Switched price display to GBP! 💷
ai.resp.currency_hkd,ai,好的，已为您切换到港币 (HKD) 价格。💵,Switched price display to HKD! 💵,好的，已为您切换到港币 (HKD) 价格。💵,Switched price display to HKD! 💵
ai.resp.currency_jpy,ai,没问题，价格显示已经为您切换到日元 (JPY) 啦！💴,Switched price display to JPY! 💴,没问题，价格显示已经为您切换到日元 (JPY) 啦！💴,Switched price display to JPY! 💴
ai.resp.currency_usd,ai,好的，价格显示已经为您切换到美元 (USD) 啦！💵,Switched price display to USD! 💵,好的，价格显示已经为您切换到美元 (USD) 啦！💵,Switched price display to USD! 💵
ai.resp.dark_mode,ai,已经为您切换到暗黑模式啦！🌙,Switched to Dark Mode! 🌙,已经为您切换到暗黑模式啦！🌙,Switched to Dark Mode! 🌙
ai.resp.initial_dumbo,ai,阿龙，您好！有什么可以帮您的吗？,Hi， A-Long! What can I help you with today?,阿龙，您好！有什么可以帮您的吗？,Hi， A-Long! What can I help you with today?
ai.resp.lang_en,ai,No problem! I have switched the system language to English for you. 🇺🇸,No problem! Switched system language to English. 🇺🇸,No problem! I have switched the system language to English for you. 🇺🇸,No problem! Switched system language to English. 🇺🇸
ai.resp.lang_zh,ai,没问题，系统语言已经为您切换回简体中文啦！🇨🇳,No problem! Switched system language back to Chinese. 🇨🇳,没问题，系统语言已经为您切换回简体中文啦！🇨🇳,No problem! Switched system language back to Chinese. 🇨🇳
ai.resp.light_mode,ai,已经为您切换到明亮模式啦！☀️,Switched to Light Mode! ☀️,已经为您切换到明亮模式啦！☀️,Switched to Light Mode! ☀️
ai.resp.lounge,ai,为您打开沙龙！💬,Opening the Lounge for you! 💬,为您打开沙龙！💬,Opening the Lounge for you! 💬
ai.resp.mock_user_tech,ai,（开发测试）我在这里，随时待命。,(Dev test) I’m here and ready.,（开发测试）我在这里，随时待命。,(Dev test) I’m here and ready.
ai.resp.notify_off,ai,好的，我已经帮您关闭了系统推送通知。现在不会有人打扰您了。🔕,Done， notifications turned off. No one will disturb you now. 🔕,好的，我已经帮您关闭了系统推送通知。现在不会有人打扰您了。🔕,Done， notifications turned off. No one will disturb you now. 🔕
ai.resp.notify_on,ai,收到！推送通知已开启，我会及时把重要信息通知给您的。🔔,Got it! Notifications are on. I'，,收到！推送通知已开启，我会及时把重要信息通知给您的。🔔,Got it! Notifications are on. I'，
ai.resp.payment_success,ai,太棒了老板！您的订单已确认，返现挑战已将启。✨ 检测到您已成功下单 {orderId}。货物签收且过退货期后的次日 0 点，系统将为您自动开启签到返现。我会为您全程盯紧物流，请放心！,Great news boss! Your order {orderId} is confirmed and cashback challenge is queued. After delivery is confirmed and return window passes the check-in cashback starts automatically at 00:00 next day. I monitor logistics for you throughout.,太棒了老板！您的订单已确认，返现挑战已将启。✨ 检测到您已成功下单 {orderId}。货物签收且过退货期后的次日 0 点，系统将为您自动开启签到返现。我会为您全程盯紧物流，请放心！,Great news boss! Your order {orderId} is confirmed and cashback challenge is queued. After delivery is confirmed and return window passes the check-in cashback starts automatically at 00:00 next day. I monitor logistics for you throughout.
ai.resp.persona_friendly,ai,好的 Boss！我已经切换到了热情活泼的管家性格！🎉 接下来有什么可以帮您的吗？,"Okay, Boss! I've switched to my enthusiastic and lively butler persona! 🎉 Is there anything I can help you with next?",好的 Boss！我已经切换到了热情活泼的管家性格！🎉 接下来有什么可以帮您的吗？,"Okay, Boss! I've switched to my enthusiastic and lively butler persona! 🎉 Is there anything I can help you with next?"
ai.resp.persona_loli,ai,大哥哥好！我换成可爱模式啦，喵呜～ 🌸 有什么需要帮忙的吗？,"Hi big brother! I've switched to cute mode, meow~ 🌸 Is there anything I can help you with?，",大哥哥好！我换成可爱模式啦，喵呜～ 🌸 有什么需要帮忙的吗？,"Hi big brother! I've switched to cute mode, meow~ 🌸 Is there anything I can help you with?，"
ai.resp.persona_tsundere,ai,哼，本小姐才不想理你呢，不过既然你非要我帮忙... 说吧，想干嘛？,"Hmph, I don't want to talk to you, but since you insist on my help... So, what do you want?",哼，本小姐才不想理你呢，不过既然你非要我帮忙... 说吧，想干嘛？,"Hmph, I don't want to talk to you, but since you insist on my help... So, what do you want?"
ai.resp.settings,ai,已经为您打开设置中心。⚙️,Opening Settings. ⚙️,已经为您打开设置中心。⚙️,Opening Settings. ⚙️
ai.resp.show_products,ai,好的，为您挑选了几款我们平台的热门严选商品，您可以随便看看！✨,Sure， here are some popular hand-picked items for you! ✨,好的，为您挑选了几款我们平台的热门严选商品，您可以随便看看！✨,Sure， here are some popular hand-picked items for you! ✨
